Invoice_ID,Branch,City,Customer_Type,Gender,Product_Category,Unit_Price,Quantity,Total,Date,Time,Payment,Rating
SLM-100034,Galle,Galle,Normal,Female,Household,1195.94,3,3229.04,2026-01-29,11:23,Cash,7.6
SLM-100035,Colombo,Colombo,Member,Female,Beverages,689.17,6,4879.32,2026-02-21,13:19,Cash,8.0
SLM-100036,Kandy,Kandy,Normal,Male,Household,3105.59,4,11925.47,2026-01-11,15:45,Cash,6.3
SLM-100037,Kandy,Kandy,Normal,Female,Food,1421.05,5,6821.04,2026-02-01,10:37,Cash,8.2
SLM-100038,Galle,Galle,Normal,Female,Household,3028.32,7,19078.42,2026-02-13,18:55,Cash,7.2
SLM-100039,Kandy,Kandy,Member,Female,Household,2282.13,4,8763.38,2026-02-25,15:40,Card,7.3
SLM-100040,Kandy,Kandy,Normal,Female,Food,416.55,4,1599.55,2026-02-25,10:29,Card,8.3
SLM-100041,Colombo,Colombo,Normal,Female,Personal Care,834.69,2,1969.87,2026-01-10,14:31,eZ Cash,7.7
SLM-100042,Kandy,Kandy,Member,Male,Household,3573.3,5,17151.84,2026-01-29,18:43,eZ Cash,7.2
SLM-100043,Kandy,Kandy,Normal,Male,Personal Care,1721.72,3,4958.55,2026-02-05,11:07,Cash,6.6
SLM-100044,Kandy,Kandy,Normal,Male,Beverages,487.12,4,1870.54,2026-02-25,13:17,Cash,7.6
SLM-100045,Galle,Galle,Normal,Female,Personal Care,437.54,1,393.79,2026-02-09,21:17,Cash,7.4
SLM-100046,Galle,Galle,Member,Male,Food,1749.07,1,1574.16,2026-02-24,12:14,Cash,7.9
SLM-100047,Colombo,Colombo,Member,Female,Personal Care,757.3,3,2680.84,2026-02-28,19:36,Card,8.2
SLM-100048,Kandy,Kandy,Normal,Female,Food,587.6,4,2256.38,2026-02-02,11:41,eZ Cash,9.0
SLM-100049,Colombo,Colombo,Normal,Female,Food,726.93,8,6862.22,2026-02-06,17:31,Card,7.7
SLM-100050,Colombo,Colombo,Normal,Male,Food,365.28,4,1724.12,2026-02-02,12:42,Card,6.3
SLM-100051,Kandy,Kandy,Member,Female,Electronics,3910.74,5,18771.55,2026-01-27,16:32,Cash,6.8
SLM-100052,Kandy,Kandy,Member,Female,Beverages,218.95,2,420.38,2026-02-06,11:56,Card,8.6
SLM-100053,Kandy,Kandy,Member,Male,Beverages,300.63,2,577.21,2026-01-18,16:36,Card,6.6
SLM-100054,Colombo,Colombo,Normal,Male,Household,2742.11,5,16178.45,2026-01-19,16:35,Card,6.8
SLM-100055,Kandy,Kandy,Normal,Female,Beverages,731.47,2,1404.42,2026-02-25,19:21,Card,7.1
SLM-100056,Galle,Galle,Member,Female,Beverages,216.16,6,1167.26,2026-02-20,10:50,Cash,7.7
SLM-100057,Colombo,Colombo,Member,Female,Personal Care,215.53,7,1780.28,2026-02-12,18:18,Card,9.0
SLM-100058,Colombo,Colombo,Member,Male,Electronics,9463.72,4,44668.76,2026-02-11,18:25,Cash,5.2
SLM-100059,Kandy,Kandy,Member,Female,Beverages,255.91,3,737.02,2026-02-20,11:12,Card,9.3
SLM-100060,Galle,Galle,Normal,Female,Beverages,445.84,6,2407.54,2026-02-15,10:08,Card,7.5
SLM-100061,Colombo,Colombo,Member,Male,Food,650.36,2,1534.85,2026-02-13,13:54,Cash,8.7
SLM-100062,Colombo,Colombo,Normal,Male,Household,2554.48,7,21100.0,2026-01-04,17:47,Card,5.9
SLM-100063,Colombo,Colombo,Normal,Male,Personal Care,2241.88,4,10581.67,2026-01-08,15:28,Cash,6.2
SLM-100064,Kandy,Kandy,Normal,Female,Food,985.08,4,3782.71,2026-01-01,20:37,Cash,6.2
SLM-100065,Colombo,Colombo,Normal,Male,Beverages,375.25,1,442.79,2026-01-17,16:33,Card,6.0
SLM-100066,Galle,Galle,Normal,Female,Personal Care,2366.05,3,6388.34,2026-02-27,17:28,eZ Cash,6.8
SLM-100067,Colombo,Colombo,Normal,Female,Household,2572.06,2,6070.06,2026-02-19,21:26,Card,7.5
SLM-100068,Colombo,Colombo,Member,Female,Food,1750.23,7,14456.9,2026-01-28,15:52,Cash,4.9
SLM-100069,Galle,Galle,Member,Male,Personal Care,2417.78,3,6528.01,2026-01-03,18:33,Cash,5.0
SLM-100070,Colombo,Colombo,Normal,Female,Personal Care,2274.4,5,13418.96,2026-02-24,17:42,Card,7.5
SLM-100071,Galle,Galle,Member,Male,Beverages,682.15,3,1841.8,2026-02-06,08:45,Cash,6.7
SLM-100072,Galle,Galle,Member,Female,Personal Care,903.44,3,2439.29,2026-02-02,16:26,Cash,6.8
SLM-100073,Colombo,Colombo,Member,Female,Household,3116.38,3,11031.99,2026-01-25,21:38,Card,7.0
SLM-100074,Galle,Galle,Normal,Female,Beverages,879.7,3,2375.19,2026-01-09,15:35,Cash,9.4
SLM-100075,Colombo,Colombo,Member,Male,Household,1468.69,7,12131.38,2026-01-31,14:27,Cash,7.2
SLM-100076,Galle,Galle,Member,Female,Food,2016.31,5,9073.4,2026-02-07,15:59,Cash,8.2
SLM-100077,Colombo,Colombo,Member,Female,Food,1946.12,4,9185.69,2026-02-17,13:03,Cash,7.0
SLM-100078,Kandy,Kandy,Normal,Female,Personal Care,2364.18,4,9078.45,2026-01-12,18:40,Cash,8.2
SLM-100079,Kandy,Kandy,Normal,Female,Beverages,149.75,5,718.8,2026-01-07,20:30,Cash,6.2
SLM-100080,Colombo,Colombo,Normal,Male,Food,282.94,4,1335.48,2026-02-23,10:30,Cash,8.6
SLM-100081,Colombo,Colombo,Member,Female,Beverages,121.38,6,859.37,2026-01-01,10:24,Card,6.9
SLM-100082,Colombo,Colombo,Member,Female,Personal Care,810.04,4,3823.39,2026-02-21,13:46,Cash,5.3
SLM-100083,Colombo,Colombo,Normal,Female,Food,1110.75,3,3932.05,2026-01-03,17:11,eZ Cash,7.0
SLM-100084,Colombo,Colombo,Member,Female,Food,1432.7,2,3381.17,2026-02-11,12:01,Cash,5.9
SLM-100085,Galle,Galle,Normal,Female,Food,1741.33,3,4701.59,2026-02-03,19:17,Card,6.8
SLM-100086,Galle,Galle,Member,Male,Personal Care,950.53,5,4277.39,2026-01-31,18:06,Cash,8.8
SLM-100087,Colombo,Colombo,Member,Male,Beverages,135.8,6,961.46,2026-02-12,11:39,Cash,9.4
SLM-100088,Galle,Galle,Normal,Male,Food,1580.05,5,7110.23,2026-01-31,11:07,Cash,5.5
SLM-100089,Colombo,Colombo,Normal,Female,Food,1992.55,5,11756.05,2026-01-11,19:35,Cash,5.8
SLM-100090,Kandy,Kandy,Member,Male,Household,3218.67,4,12359.69,2026-02-20,08:03,Cash,8.6
SLM-100091,Kandy,Kandy,Normal,Female,Beverages,682.43,5,3275.66,2026-02-13,17:45,Cash,7.0
SLM-100092,Kandy,Kandy,Member,Female,Personal Care,1438.96,1,1381.4,2026-02-09,14:56,Card,7.6
SLM-100093,Colombo,Colombo,Normal,Male,Food,583.07,7,4816.16,2026-01-13,19:59,Card,4.4
SLM-100094,Galle,Galle,Member,Male,Personal Care,1949.35,7,12280.9,2026-02-04,18:31,eZ Cash,5.7
SLM-100095,Galle,Galle,Normal,Female,Food,1682.07,2,3027.73,2026-02-28,08:05,Card,7.2
SLM-100096,Galle,Galle,Member,Female,Household,2312.51,1,2081.26,2026-02-06,14:19,Card,6.7
SLM-100097,Colombo,Colombo,Member,Male,Food,509.0,2,1201.24,2026-02-13,17:23,Cash,8.1
SLM-100098,Galle,Galle,Normal,Male,Food,588.22,4,2117.59,2026-01-28,12:28,Cash,6.4
SLM-100099,Kandy,Kandy,Normal,Male,Household,2009.05,2,3857.38,2026-01-19,10:14,eZ Cash,6.9
SLM-100100,Galle,Galle,Normal,Female,Electronics,9123.99,1,8211.59,2026-01-14,10:24,Cash,8.8
SLM-100101,Galle,Galle,Normal,Female,Household,836.86,1,753.17,2026-01-23,13:27,Card,8.6
SLM-100102,Colombo,Colombo,Member,Female,Beverages,750.81,4,3543.82,2026-02-26,18:02,eZ Cash,9.9
SLM-100103,Colombo,Colombo,Member,Male,Food,1015.41,2,2396.37,2026-01-09,15:50,eZ Cash,8.5
SLM-100104,Colombo,Colombo,Normal,Female,Food,674.49,6,4775.39,2026-02-23,11:02,Card,6.5
SLM-100105,Kandy,Kandy,Normal,Male,Beverages,229.36,2,440.37,2026-02-27,11:32,eZ Cash,8.7
SLM-100106,Colombo,Colombo,Normal,Female,Food,240.71,2,568.08,2026-02-24,10:12,Card,8.4
SLM-100107,Colombo,Colombo,Normal,Female,Food,2176.98,6,15413.02,2026-01-29,18:49,eZ Cash,7.8
SLM-100108,Colombo,Colombo,Member,Female,Personal Care,1686.96,6,11943.68,2026-01-13,18:20,Cash,9.3
SLM-100109,Kandy,Kandy,Member,Female,Electronics,3747.17,3,10791.85,2026-01-27,09:23,Card,7.2
SLM-100110,Colombo,Colombo,Normal,Male,Food,1646.88,5,9716.59,2026-02-05,15:18,eZ Cash,7.8
SLM-100111,Colombo,Colombo,Member,Male,Personal Care,277.41,3,982.03,2026-02-15,15:40,Cash,6.8
SLM-100112,Galle,Galle,Member,Female,Personal Care,1155.6,5,5200.2,2026-02-13,16:08,Cash,7.4
SLM-100113,Kandy,Kandy,Member,Female,Beverages,485.24,1,465.83,2026-01-08,11:49,Card,8.1
SLM-100114,Colombo,Colombo,Member,Female,Food,1751.87,4,8268.83,2026-02-10,19:45,Cash,7.3
SLM-100115,Colombo,Colombo,Member,Male,Electronics,3120.18,5,18409.06,2026-02-04,16:40,Cash,6.7
SLM-100116,Kandy,Kandy,Member,Female,Electronics,4697.41,2,9019.03,2026-02-12,17:32,Card,6.5
SLM-100117,Kandy,Kandy,Normal,Female,Personal Care,959.76,3,2764.11,2026-02-18,16:42,Cash,7.3
SLM-100118,Galle,Galle,Normal,Male,Personal Care,2547.25,6,13755.15,2026-01-07,17:59,Cash,7.3
SLM-100119,Colombo,Colombo,Normal,Male,Food,700.77,3,2480.73,2026-01-14,16:21,eZ Cash,6.6
SLM-100120,Colombo,Colombo,Member,Male,Personal Care,2210.8,6,15652.46,2026-01-07,11:20,eZ Cash,5.8
SLM-100121,Colombo,Colombo,Member,Male,Beverages,634.32,7,5239.48,2026-01-05,20:17,Card,7.0
SLM-100122,Colombo,Colombo,Normal,Male,Food,1861.71,1,2196.82,2026-01-15,11:39,Card,6.4
SLM-100123,Kandy,Kandy,Normal,Female,Electronics,5631.68,5,27032.06,2026-01-20,10:41,Card,8.5
SLM-100124,Kandy,Kandy,Member,Male,Household,1504.35,6,8665.06,2026-02-26,18:40,Cash,6.2
SLM-100125,Galle,Galle,Normal,Male,Beverages,861.22,6,4650.59,2026-01-20,11:34,Card,8.7
SLM-100126,Colombo,Colombo,Member,Male,Food,1061.36,2,2504.81,2026-02-09,18:05,Cash,9.5
SLM-100127,Colombo,Colombo,Normal,Male,Beverages,799.94,3,2831.79,2026-02-05,10:49,Card,8.9
SLM-100128,Kandy,Kandy,Normal,Male,Beverages,425.36,2,816.69,2026-02-27,12:37,Cash,7.2
SLM-100129,Colombo,Colombo,Member,Male,Personal Care,1144.39,2,2700.76,2026-02-09,21:51,Cash,8.1
SLM-100130,Galle,Galle,Normal,Female,Food,626.01,7,3943.86,2026-01-18,17:52,Card,5.2
SLM-100131,Kandy,Kandy,Normal,Male,Food,279.91,3,806.14,2026-01-30,16:42,Cash,7.0
SLM-100132,Galle,Galle,Normal,Male,Beverages,344.68,1,310.21,2026-01-19,15:33,Card,8.3
SLM-100133,Colombo,Colombo,Member,Male,Electronics,6670.33,7,55096.93,2026-02-19,11:12,eZ Cash,9.2
SLM-100134,Colombo,Colombo,Member,Male,Household,943.98,4,4455.59,2026-01-06,17:01,Cash,5.5
SLM-100135,Colombo,Colombo,Member,Female,Food,908.73,4,4289.21,2026-02-25,09:51,Cash,7.6
SLM-100136,Galle,Galle,Normal,Female,Food,396.95,4,1429.02,2026-01-12,10:27,Card,5.6
SLM-100137,Galle,Galle,Normal,Female,Electronics,1853.4,2,3336.12,2026-01-06,14:03,eZ Cash,6.5
SLM-100138,Colombo,Colombo,Normal,Female,Beverages,529.75,4,2500.42,2026-01-24,21:57,Cash,6.2
SLM-100139,Colombo,Colombo,Member,Female,Personal Care,1606.18,5,9476.46,2026-02-18,14:06,eZ Cash,8.6
SLM-100140,Galle,Galle,Member,Female,Food,1091.11,3,2946.0,2026-01-22,16:23,Cash,7.6
SLM-100141,Colombo,Colombo,Member,Female,Food,515.45,5,3041.15,2026-01-13,17:58,Card,6.6
SLM-100142,Colombo,Colombo,Normal,Female,Household,2624.76,5,15486.08,2026-01-07,09:55,Card,6.7
SLM-100143,Colombo,Colombo,Member,Female,Household,2247.47,5,13260.07,2026-02-21,08:20,Card,4.6
SLM-100144,Colombo,Colombo,Normal,Female,Personal Care,1082.81,1,1277.72,2026-01-27,16:19,Card,6.6
SLM-100145,Kandy,Kandy,Normal,Female,Electronics,8345.14,4,32045.34,2026-02-04,12:55,Cash,7.3
SLM-100146,Galle,Galle,Normal,Male,Household,3736.61,3,10088.85,2026-01-08,16:54,Cash,3.6
SLM-100147,Galle,Galle,Normal,Male,Food,793.67,2,1428.61,2026-01-31,19:03,Card,7.7
SLM-100148,Colombo,Colombo,Normal,Male,Beverages,633.53,4,2990.26,2026-02-01,09:34,Cash,5.1
SLM-100149,Colombo,Colombo,Member,Male,Electronics,4739.95,5,27965.7,2026-02-04,18:05,eZ Cash,7.8
SLM-100150,Kandy,Kandy,Member,Female,Beverages,149.8,6,862.85,2026-02-09,15:22,Card,10.0
SLM-100151,Colombo,Colombo,Normal,Male,Food,2070.47,2,4886.31,2026-01-04,18:54,Cash,9.7
SLM-100152,Kandy,Kandy,Normal,Female,Beverages,489.36,2,939.57,2026-02-28,09:34,Cash,8.3
SLM-100153,Colombo,Colombo,Normal,Male,Personal Care,1892.98,3,6701.15,2026-01-22,18:05,Cash,7.7
SLM-100154,Galle,Galle,Normal,Female,Household,3441.17,5,15485.26,2026-01-28,21:26,Cash,3.5
SLM-100155,Colombo,Colombo,Member,Male,Food,336.42,4,1587.9,2026-02-25,18:43,Cash,9.1
SLM-100156,Colombo,Colombo,Member,Male,Food,1221.83,7,10092.32,2026-02-03,20:58,Cash,8.7
SLM-100157,Colombo,Colombo,Member,Male,Household,3489.19,5,20586.22,2026-01-13,15:39,Card,6.7
SLM-100158,Galle,Galle,Normal,Male,Food,636.38,4,2290.97,2026-02-26,15:20,Card,7.2
SLM-100159,Kandy,Kandy,Member,Female,Household,2638.63,5,12665.42,2026-01-14,15:19,Cash,8.1
SLM-100160,Galle,Galle,Member,Female,Beverages,551.23,6,2976.64,2026-01-27,15:06,Card,3.4
SLM-100161,Kandy,Kandy,Member,Female,Household,1059.29,4,4067.67,2026-01-04,16:04,Card,10.0
SLM-100162,Galle,Galle,Normal,Female,Personal Care,1748.6,7,11016.18,2026-01-26,18:03,eZ Cash,7.1
SLM-100163,Kandy,Kandy,Member,Male,Household,3660.08,4,14054.71,2026-01-26,14:39,Card,8.5
SLM-100164,Galle,Galle,Normal,Female,Personal Care,497.4,3,1342.98,2026-02-07,12:12,eZ Cash,4.3
SLM-100165,Colombo,Colombo,Member,Male,Food,579.29,3,2050.69,2026-02-13,13:57,Card,7.3
SLM-100166,Colombo,Colombo,Member,Female,Beverages,242.36,2,571.97,2026-01-08,13:14,Card,6.4
SLM-100167,Colombo,Colombo,Normal,Male,Personal Care,2152.48,4,10159.71,2026-01-21,15:46,Cash,6.4
SLM-100168,Kandy,Kandy,Member,Male,Food,1698.6,2,3261.31,2026-01-01,13:11,Cash,7.3
SLM-100169,Colombo,Colombo,Member,Male,Personal Care,2430.61,4,11472.48,2026-02-22,15:37,Card,5.6
SLM-100170,Galle,Galle,Normal,Female,Beverages,187.36,4,674.5,2026-01-29,08:47,Cash,8.0
SLM-100171,Kandy,Kandy,Normal,Female,Food,634.86,2,1218.93,2026-02-20,18:50,eZ Cash,6.0
SLM-100172,Galle,Galle,Member,Male,Food,1404.72,3,3792.74,2026-01-21,20:24,Cash,6.2
SLM-100173,Colombo,Colombo,Member,Female,Electronics,4723.04,3,16719.56,2026-02-14,18:03,eZ Cash,6.3
SLM-100174,Colombo,Colombo,Normal,Male,Food,1548.97,4,7311.14,2026-01-17,18:25,Cash,5.7
SLM-100175,Kandy,Kandy,Member,Female,Personal Care,2047.88,5,9829.82,2026-02-20,14:15,Cash,5.6
SLM-100176,Kandy,Kandy,Normal,Female,Food,1228.21,6,7074.49,2026-01-06,18:02,Card,7.0
SLM-100177,Colombo,Colombo,Member,Male,Beverages,517.92,6,3666.87,2026-01-09,19:11,Cash,6.3
SLM-100178,Colombo,Colombo,Normal,Female,Food,1654.23,2,3903.98,2026-01-29,18:58,Cash,5.4
SLM-100179,Kandy,Kandy,Member,Male,Electronics,7921.76,4,30419.56,2026-01-17,13:47,Cash,7.1
SLM-100180,Galle,Galle,Member,Female,Personal Care,1146.05,1,1031.44,2026-01-10,09:13,Card,7.3
SLM-100181,Colombo,Colombo,Normal,Female,Personal Care,730.94,7,6037.56,2026-01-06,09:51,Card,5.6
SLM-100182,Colombo,Colombo,Normal,Female,Electronics,7327.0,6,51875.16,2026-02-01,15:03,eZ Cash,5.3
SLM-100183,Galle,Galle,Member,Male,Food,1195.81,4,4304.92,2026-02-04,15:07,Card,7.0
SLM-100184,Galle,Galle,Member,Female,Household,2106.97,3,5688.82,2026-02-17,12:44,Card,4.9
SLM-100185,Galle,Galle,Normal,Male,Household,1932.46,2,3478.43,2026-01-06,21:21,eZ Cash,7.5
SLM-100186,Colombo,Colombo,Normal,Female,Electronics,8568.24,3,30331.57,2026-01-15,13:22,Card,5.1
SLM-100187,Galle,Galle,Member,Female,Food,1618.07,3,4368.79,2026-01-28,16:36,eZ Cash,6.4
SLM-100188,Colombo,Colombo,Member,Male,Electronics,1907.05,4,9001.28,2026-02-21,17:32,Cash,6.5
SLM-100189,Kandy,Kandy,Normal,Female,Food,234.91,3,676.54,2026-02-12,20:14,Card,7.4
SLM-100190,Kandy,Kandy,Normal,Male,Household,965.45,7,6487.82,2026-02-18,19:26,Card,4.2
SLM-100191,Colombo,Colombo,Normal,Male,Electronics,4157.3,2,9811.23,2026-01-12,11:54,Cash,8.6
SLM-100192,Galle,Galle,Member,Male,Food,1851.05,5,8329.73,2026-01-25,16:05,Card,7.2
SLM-100193,Kandy,Kandy,Normal,Female,Beverages,407.23,2,781.88,2026-02-16,15:04,Cash,6.1
SLM-100194,Colombo,Colombo,Normal,Male,Food,1565.82,3,5543.0,2026-02-15,19:52,Cash,6.6
SLM-100195,Kandy,Kandy,Normal,Male,Household,1278.91,2,2455.51,2026-02-07,16:17,Card,10.0
SLM-100196,Colombo,Colombo,Normal,Female,Household,512.95,1,605.28,2026-03-01,15:40,Cash,5.6
SLM-100197,Galle,Galle,Member,Male,Personal Care,1500.83,4,5402.99,2026-01-05,18:57,eZ Cash,9.4
SLM-100198,Kandy,Kandy,Normal,Female,Household,2868.18,4,11013.81,2026-01-31,10:24,Card,4.0
SLM-100199,Kandy,Kandy,Normal,Female,Beverages,270.13,1,259.32,2026-02-08,12:08,Card,7.2
SLM-100200,Galle,Galle,Member,Male,Household,797.71,2,1435.88,2026-01-12,20:58,Card,7.1
SLM-100201,Colombo,Colombo,Normal,Male,Food,2009.7,5,11857.23,2026-02-20,15:09,Cash,4.7
SLM-100202,Colombo,Colombo,Member,Female,Household,3777.0,2,8913.72,2026-02-13,21:15,eZ Cash,6.9
SLM-100203,Colombo,Colombo,Normal,Female,Personal Care,913.75,6,6469.35,2026-03-01,15:14,Card,6.9
SLM-100204,Colombo,Colombo,Member,Female,Household,2044.54,3,7237.67,2026-02-18,16:32,Cash,9.1
SLM-100205,Colombo,Colombo,Member,Male,Personal Care,1260.0,6,8920.8,2026-02-03,12:06,Cash,6.7
SLM-100206,Colombo,Colombo,Normal,Female,Food,290.97,5,1716.72,2026-01-07,16:16,Card,8.6
SLM-100207,Kandy,Kandy,Member,Male,Food,1801.56,2,3459.0,2026-02-05,19:07,Card,6.9
SLM-100208,Colombo,Colombo,Member,Female,Household ,2823.1,7,23318.81,2026-01-30,16:57,Card,8.1
SLM-100209,Colombo,Colombo,Member,Female,Beverages,710.47,2,1676.71,2026-01-15,08:02,Card,7.5
SLM-100210,Galle,Galle,Normal,Female,Food,1139.55,2,2051.19,2026-02-21,16:41,Cash,6.9
SLM-100211,Colombo,Colombo,Member,Male,Personal Care,2420.16,7,19990.52,2026-01-02,12:36,eZ Cash,8.0
SLM-100212,Colombo,Colombo,Normal,Female,Electronics,9265.68,5,54667.51,2026-01-04,16:58,Card,3.4
SLM-100213,Colombo,Colombo,Normal,Female,Food,1674.34,5,9878.61,2026-02-20,10:42,Card,8.7
SLM-100214,Colombo,Colombo,Normal,Male,Beverages,265.09,5,1564.03,2026-02-01,12:43,Cash,6.1
SLM-100215,Galle,Galle,Member,Female,Personal Care,764.91,6,4130.51,2026-01-06,16:28,eZ Cash,7.3
SLM-100216,Colombo,Colombo,Member,Female,Household,1456.06,4,6872.6,2026-02-15,10:24,Cash,7.5
SLM-100217,Galle,Galle,Normal,Male,Beverages,910.97,3,2459.62,2026-01-07,17:50,Card,
SLM-100218,Colombo,Colombo,Member,Male,Food,758.92,2,1791.05,2026-02-02,11:41,Cash,8.2
SLM-100219,Colombo,Colombo,Normal,Female,Beverages,660.61,1,779.52,2026-01-15,10:24,Cash,7.8
SLM-100220,Galle,Galle,Member,Female,Household,327.5,5,1473.75,2026-01-21,15:31,Cash,6.2
SLM-100221,Galle,Galle,Normal,Male,Household,2961.65,5,13327.43,2026-02-17,13:01,eZ Cash,7.1
SLM-100222,Galle,Galle,Member,Male,Household,770.94,1,693.85,2026-03-01,14:26,Cash,7.1
SLM-100223,Galle,Galle,Member,Male,Electronics,5299.01,2,9538.22,2026-01-04,11:28,Cash,9.3
SLM-100224,Kandy,Kandy,Member,Female,Electronics,5519.3,6,31791.17,2026-01-16,21:25,eZ Cash,7.1
SLM-100225,Kandy,Kandy,Member,Male,Beverages,560.5,2,1076.16,2026-01-12,21:51,Cash,8.1
SLM-100226,Colombo,Colombo,Member,Female,Food,1543.12,4,7283.53,2026-01-19,13:40,Card,8.1
SLM-100227,Colombo,Colombo,Normal,Female,Household,1009.1,5,5953.69,2026-01-03,19:25,Cash,5.6
SLM-100228,Colombo,Colombo,Normal,Male,Personal Care,2447.32,2,5775.68,2026-02-11,16:07,Cash,5.8
SLM-100229,Colombo,Colombo,Normal,Female,Beverages,267.67,1,315.85,2026-02-25,16:20,Cash,6.9
SLM-100230,Colombo,Colombo,Member,Male,Food,744.3,6,5269.64,2026-02-28,12:16,Cash,7.3
SLM-100231,Colombo,Colombo,Member,Male,Food,1708.43,6,12095.68,2026-01-31,21:21,Cash,6.6
SLM-100232,Galle,Galle,Normal,Female,Electronics,4974.79,6,26863.87,2026-02-18,18:50,eZ Cash,8.3
SLM-100233,Colombo,Colombo,Normal,Male,Food,1505.58,6,10659.51,2026-02-18,09:46,eZ Cash,6.5
SLM-100234,Colombo,Colombo,Member,Female,Beverages,155.24,3,549.55,2026-01-24,15:27,eZ Cash,6.9
SLM-100235,Colombo,Colombo,Normal,Female,Food,1195.07,3,4230.55,2026-01-03,14:25,Cash,7.2
SLM-100236,Kandy,Kandy,Member,Male,Personal Care,801.27,5,3846.1,2026-02-04,21:00,Cash,7.6
SLM-100237,Kandy,Kandy,Member,Female,Personal Care,1593.67,6,9179.54,2026-01-22,13:09,Card,
SLM-100238,Colombo,Colombo,Normal,Female,Personal Care,343.42,2,810.47,2026-02-09,15:17,eZ Cash,6.1
SLM-100239,Galle,Galle,Member,Male,Household,2799.12,3,7557.62,2026-01-10,15:19,eZ Cash,6.0
SLM-100240,Kandy,Kandy,Normal,Male,Electronics,2202.08,4,8455.99,2026-02-25,10:28,Cash,6.2
